1. Código DANE Departamento,2. Código DANE Municipio,3. Informacion Predial utilizada,4. Número Predial Nacional o Información Predial Catastral,5. Dirección catastral del predio,6. Tipo de Asentamiento (Cabecera Municipal-Centros Poblados-Rural Dispersa),7. Tipo de Estratificacion,8. Estrato alcaldia,9. Estrato Atipico,10. ACUEDUCTO - NOMBRE EMPRESA,11. ACUEDUCTO - NIT,12. ACUEDUCTO -DV,13. ACUEDUCTO - NUIU,14. ACUEDUCTO - ESTRATO,15. ALCANTARILLADO - NOMBRE EMPRESA,16. ALCANTARILLADO - NIT,17. ALCANTARILLADO - DV,18. ALCANTARILLADO - NUIU,19. ALCANTARILLADO - ESTRATO,20. ASEO - NOMBRE EMPRESA,21. ASEO - NIT,22. ASEO - DV,23. ASEO - NUIU,24. ASEO -ESTRATO
52,490,1,524900000000000000025000000000,LA HERRADURA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000026000000000,CELEPRIETA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000027000000000,BELLAVISTA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000028000000000,CALABAZAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000029000000000,ISLA GRANDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000030000000000,ZAPANGE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000031000000000,LA VIVORA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000032000000000,EL CHURRO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000033000000000,EL HIGUERON,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000033000000000,EL HIGUERON,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
